name,landmark,lat,long,user_created,user_saved
WHISPERING PINES STATE PARK,state_local_park,26.641,-80.16413,,
WHITE PINE PK,state_local_park,26.9141,-82.24625,,
DADE BATTLEFIELD MEM ST PARK,state_local_park,28.65209,-82.12916,,
BOYD HILL NATURE PARK,state_local_park,27.73357,-82.65706,,
RONDA LANE,state_local_park,29.24637,-81.46564,,
DELTONA GOLF AND COUNTRY CLUB,golf_course,28.92222,-81.23717,,
,golf_course,28.37746,-81.52878,,
LAFAYETTE PARK,state_local_park,29.71848,-84.98831,,
CITY BEACH,state_local_park,26.78238,-80.03312,,
JONATHAN DICKINSON STATE PARK,state_local_park,27.03228,-80.14712,,
HILLSBOROUGH RIVER,state_local_park,28.14628,-82.22912,,
ST ANDREWS CLUB,golf_course,26.50613,-80.05518,,
SOUTH BEACH PARK,state_local_park,26.11225,-80.10507,,
COPELAND PARK,state_local_park,28.04953,-82.44047,,
,state_local_park,29.93664,-85.40169,,
THE PRESIDENT COUNTRY CLUB,golf_course,26.73553,-80.08441,,
CITY OF BOYTON BEACH GOLF CLUB,golf_course,26.56099,-80.13957,,
,state_local_park,27.20712,-81.86908,,
SUNRISE GOLF CLUB,golf_course,27.25701,-82.45668,,
BOCA WOODS COUNTRY CLUB,golf_course,26.35474,-80.21546,,
TOMOKA STATE PARK,state_local_park,29.32674,-81.08319,,
,national_park,30.333,-82.34613,,
,golf_course,30.37918,-87.39368,,
ROCKY POINT golf_course,golf_course,27.97722,-82.55472,,
,golf_course,24.92611,-80.76342,,
ADIOS GOLF CLUB,golf_course,26.32384,-80.17334,,
BANYAN golf_course,golf_course,26.65776,-80.19301,,
JOE'S BAYOU RECREATION AREA,campground,30.41036,-86.49165,,
,golf_course,27.91078,-82.34703,,
HIDDEN HILLS COUNTRY CLUB,golf_course,30.37394,-81.49781,,
DEVANCE PARK,state_local_park,27.29721,-81.36944,,
MEADOWS PARK AND POOL,state_local_park,26.35922,-80.11445,,
MARJORIE PARK,state_local_park,27.933,-82.45524,,
WAL-MART PLAZA,shopping_center,26.75586,-80.94836,,
,state_local_park,30.66319,-81.45517,,
HUGH TAYLOR BIRCH STATE PARK,state_local_park,26.14501,-80.10504,,
DRY TORTUGAS NATIONAL PARK,national_park,24.65791,-82.86494,,
APALACHICOLA NATIONAL FOREST,national_park,30.28391,-84.34078,,
IMPERIALAKES golf_course,golf_course,27.92707,-81.97644,,
K-MART PLAZA,shopping_center,26.75587,-80.94548,,
CORBETT STATE WILDLIFE AREA,state_local_park,26.89961,-80.40461,,
PALMA CEIA SPRING PARK,state_local_park,27.92221,-82.48819,,
FRANK B BUTLER STATE PARK,state_local_park,29.78706,-81.26312,,
GULF ISLANDS NATIONAL SEASHORE,national_park,30.32194,-87.26277,,
LAKE DAVID PARK,state_local_park,28.55734,-81.85907,,
OCHLOCKONEE RIVER STATE PARK,state_local_park,30.0044,-84.47974,,
BREAKERS GOLF AND BEACH CLUB,golf_course,26.71502,-80.0382,,
PALM BEACH NATIONAL GOLF CLUB,golf_course,26.62833,-80.16498,,
HONEYMOON ISLAND STATE RECREAT,state_local_park,28.06052,-82.82231,,
ASTOR PARK,state_local_park,29.15421,-81.5713,,
HENRY BECK COUNTY PARK,state_local_park,29.28299,-82.68762,,
